Name,Categoria,Informação
Comportamento de compra,Comportamento de Compra,"Já investiu em marketing e se frustrouJá contratou agência que não entregou nadaJá fez cursos rasosJá tentou fazer sozinhoEstá disposto a pagar mais por método + direção + acompanhamentoValoriza proximidade com o mentorConfia em narrativa verdadeira, não hype"
Objeção 6,Objeções,"“Meu problema não é marketing, é gente/processo/gestão.”"
Dor 5,Dores,Time desorganizado
Desejo 6,Desejos,Previsibilidade
Nível de educação,Dados Demográficos,"Superior completo ou em andamento; muitas com pós, cursos ou especializações."
Gênero,Dados Demográficos,70% mulheres
Objeção 7,Objeções,"“É um investimento alto, preciso ter certeza que vai voltar.”"
Dor 4,Dores,Rotina caótica
Medo 2,Valores e Medos,Investir novamente e não ter retorno
Objetivo 3,Objetivos,Parar de improvisar marketing e conteúdo
"Desafio 9 ",Desafios,Falta de método para decidir
Desafio 10,Desafios,Sensação constante de tentativa e erro
Desejo 10,Desejos,Liberdade de tempo
"Desejo ",Desejos,Segurança
Objetivo 7,Objetivos,Transformar conteúdo em venda
Objetivo 11,Objetivos,Ter controle sobre o crescimento
Objetivo 8,Objetivos,Crescer sem se esgotar
Medo 1,Valores e Medos,Investir novamente e não ter retorno
Quem não é,Dados Demográficos,"Quem quer viralizar
Quem busca fórmula rápida
Quem está começando do zero
Quem não tem negócio real
Quem quer apenas aprender reels, tráfego ou hacks
Quem terceiriza responsabilidade
Quem não aceita verdade, método e profundidade
Quem quer palco, não venda"
Desafio 5,Desafios,Vendas instáveis
Objetivo 10,Objetivos,Ter clareza de próximo passo
"Dor 1 ",Dores,Vendas instáveis
Objetivo 4,Objetivos,Saber exatamente o que comunicar
Medo 8,Valores e Medos,Depender eternamente de indicações
Objetivo 5,Objetivos,Ser visto como autoridade no seu segmento
Medo 5,Valores e Medos,Ser ultrapassado por concorrentes mais estratégicos
Desafio 7,Desafios,Dificuldade de transformar visibilidade em faturamento
Desejo 11,Desejos,Crescimento sustentável
Psicografia,Dados Demográficos,"Cresceram no improviso
O negócio “funciona”, mas não é previsível
Trabalham muito mais do que deveriam
Sentem que o negócio depende demais deles
Já investiram em marketing, mas sem clareza
Já tentaram produzir conteúdo, mas sem estratégia
Viveram frustrações com:
• agências
• social medias
• promessas vaziasSão céticos com “marketing milagroso”Têm medo de:
• continuar tentando sem saber se está certo
• investir de novo e errarProcuram:
• seriedade
• método
• clareza
• direção
Querem crescer, mas não querem virar reféns do digital"
Dor 11,Dores,Falta de tempo
Desafio 11,Desafios,Time que não performa
Desafio 12,Desafios,Negócio dependente 100% do dono
Fonte 4,Fontes de Informação,"Redes de Relacionamento
• Grupos de empresárias (WhatsApp/Telegram)
• Associações de classe, grupos de networking, núcleos de empreendedores
• Amigas empreendedoras que “trocam dor” e indicação"
Medo 6,Valores e Medos,Ficar preso ao operacional para sempre
Fonte 5,Fontes de Informação,"Leitura
• Livros de negócios, marketing, finanças e liderança
• Artigos e newsletters de players que ela respeita"
Desafio 4,Desafios,Marketing desconectado de vendas
Objetivo 9,Objetivos,Sentir que o negócio “faz sentido”
Medo 7,Valores e Medos,Nunca saber se está “fazendo certo”
Desafio 6,Desafios,Falta de rotina comercial
Medo 3,Valores e Medos,Crescer errado e quebrar depois
Desafio 8,Desafios,Esforço alto para retorno baixo
Objetivo 6,Objetivos,Atrair clientes certos (não qualquer cliente)
Medo 4,Valores e Medos,Perder relevância no mercado
Desafio 3,Desafios,Comunicação que não diferencia
Trava 2,Travas principais,Conteúdo sem intenção estratégica
Tensão 6,Tensões reais,Testa → mas não tem método
Fonte 3,Fontes de Informação,"Formações e Mentorias
• Mentorias e programas de negócios que ela já fez
• Cursos de gestão, vendas, liderança, marketing, finanças
• Lives e aulas abertas de players que ela respeita"
Tensão 2,Tensões reais,Vende → mas não sabe repetir
Medo 9,Valores e Medos,"
Se expor no digital e não ser levado a sério"
Trava 6,Travas principais,Falta de estrutura mínima de venda
Trava 3,Travas principais,Falta de clareza comercial
Trava 9,Travas principais,Excesso de informação e pouca direção
Trava 7,Travas principais,Dependência excessiva do dono
Trava 8,Travas principais,Medo de errar novamente
Tensão 4,Tensões reais,Investe → mas não se sente seguro
Tempo de negócio,Dados Demográficos,"1 a 10 anos
Não são iniciantes absolutos"
Tensão 1,Tensões reais,Aparece → mas não converte
Estrutura,Dados Demográficos,"Negócios pequenos e médios
1 a 10 colaboradores"
Tipo de negócio,Dados Demográficos,"Serviços, 
Profissionais liberais
Saúde
Moda, varejo e comércio
Educação e especialidades"
Tensão 7,Tensões reais,Quer crescer → mas não quer errar de novo
Tensão 5,Tensões reais,Aprende → mas não aplica com clareza
Tensão 3,Tensões reais,Cresce → mas fica mais cansado
Trava 4,Travas principais,Falta de método de decisão
Trava 5,Travas principais,Marketing desconectado de vendas
Trava 1,Travas principais,Posicionamento confuso
